z,th,score,pass
25,-0.5,0,0
25,-0.4,0,0
25,-0.3,69.6251030582347,1
25,-0.2,79.5757206996367,1
25,-0.0999999999999996,89.1717068659663,1
25,0,97.9395114091924,1
25,0.0999999999999996,89.1714459535048,1
25,0.2,79.5816581852442,1
25,0.3,69.6101773622718,1
25,0.4,0,0
25,0.5,0,0
50,-0.5,63.204879433817,1
50,-0.4,69.7424783686931,1
50,-0.3,76.2223284090926,1
50,-0.2,83.3475680455599,1
50,-0.0999999999999996,90.1910195209777,1
50,0,96.1995759182403,1
50,0.0999999999999996,90.1895802283894,1
50,0.2,83.3455546146161,1
50,0.3,76.2414244927006,1
50,0.4,69.9255663810636,1
50,0.5,63.5388456868875,1
100,-0.5,87.8798175497692,1
100,-0.4,86.4022505513665,1
100,-0.3,88.3661094284027,1
100,-0.2,90.7718195923737,1
100,-0.0999999999999996,93.13301499028,1
100,0,95.1291637746279,1
100,0.0999999999999996,93.1327334564008,1
100,0.2,90.7717051843349,1
100,0.3,88.3618103324822,1
100,0.4,86.3325266701266,1
100,0.5,88.1607788275027,1
200,-1,85.1294655073549,1
200,-0.9,87.8954745448688,1
200,-0.8,89.5969359312519,1
200,-0.7,90.5138119259144,1
200,-0.6,91.2503016503407,1
200,-0.5,91.9225424678554,1
200,-0.4,94.0310115888585,1
200,-0.3,94.1392556728995,1
200,-0.2,94.2509716013439,1
200,-0.0999999999999996,94.3365957769027,1
200,0,94.4080790212611,1
200,0.0999999999999996,94.3364154680527,1
200,0.2,94.2526350860831,1
200,0.3,94.1540730605361,1
200,0.4,94.0951510654663,1
200,0.5,91.9454243141639,1
200,0.6,91.234240070576,1
200,0.7,90.4651924891547,1
200,0.8,89.5685014763641,1
200,0.9,87.9230828396342,1
200,1,85.1111005846023,1
350,-1.2,81.3945552445908,1
350,-1.1,87.5169085891609,1
350,-1,88.6230222936809,1
350,-0.9,88.0645930434574,1
350,-0.8,87.8173734220064,1
350,-0.7,87.8427760675254,1
350,-0.6,88.0726565626464,1
350,-0.5,88.4732548793252,1
350,-0.4,92.008736923645,1
350,-0.3,92.6160568595906,1
350,-0.2,93.139756579238,1
350,-0.0999999999999996,93.5516323839967,1
350,0,94.0107610048246,1
350,0.0999999999999996,93.5521783648009,1
350,0.2,93.1518011364276,1
350,0.3,92.6217750720067,1
350,0.4,92.0667976762037,1
350,0.5,88.5607117569043,1
350,0.6,88.1590557184634,1
350,0.7,87.8779921087111,1
350,0.8,87.8258762857283,1
350,0.9,88.071754910702,1
350,1,88.5430173148098,1
350,1.1,87.7259829385808,1
350,1.2,82.3827562233567,1
500,-1.2,88.2327174593708,1
500,-1.1,87.2398337693787,1
500,-1,86.4737596936912,1
500,-0.9,86.6103022754783,1
500,-0.8,86.6552597616735,1
500,-0.7,86.7480985461697,1
500,-0.6,86.6722645324153,1
500,-0.5,86.7970011790563,1
500,-0.4,87.7810979523204,1
500,-0.3,89.1102532885711,1
500,-0.2,90.5481022214407,1
500,-0.0999999999999996,91.9368524309784,1
500,0,93.2942280866265,1
500,0.0999999999999996,91.9408519042414,1
500,0.2,90.537519366909,1
500,0.3,89.0202436341594,1
